,id,a,allocation_1,allocation_2,allocation_3,allocation_4,allocation_5,allocation_6,allocation_7,allocation_8,allocation_9,allocation_10,allocation_11,allocation_12,allocation_13,allocation_14,allocation_15,allocation_16,allocation_17,allocation_18,allocation_19,allocation_20,allocation_21,allocation_22,allocation_23,allocation_24,allocation_25,allocation_26,allocation_27,allocation_28,allocation_29,allocation_30,allocation_31,allocation_32,allocation_33,allocation_34,allocation_35,allocation_36,allocation_37,allocation_38,allocation_39,allocation_40,allocation_41,allocation_42,allocation_43,allocation_44,allocation_45,allocation_46,allocation_47,allocation_48,allocation_49,allocation_50,allocation_51,allocation_52,allocation_53,allocation_54,allocation_55,allocation_56,allocation_57,allocation_58,allocation_59,allocation_60,allocation_61,allocation_62,allocation_63,allocation_64,allocation_65,allocation_66,allocation_67,allocation_68,allocation_69,allocation_70,allocation_71,allocation_72,allocation_73,allocation_74,allocation_75,allocation_76,allocation_77,allocation_78,allocation_79,allocation_80,allocation_81,allocation_82,allocation_83,allocation_84,allocation_85,allocation_86,allocation_87,allocation_88,allocation_89,allocation_90,allocation_91,allocation_92,allocation_93,allocation_94,allocation_95,allocation_96,allocation_97,allocation_98,allocation_99,allocation_100,allocation_101,allocation_102,allocation_103,allocation_104,allocation_105,allocation_106,allocation_107,allocation_108,allocation_109,allocation_110,allocation_111,allocation_112,allocation_113,allocation_114,allocation_115,allocation_116,allocation_117,allocation_118,allocation_119,allocation_120,allocation_121,allocation_122,allocation_123,allocation_124,allocation_125,allocation_126,allocation_127,allocation_128,allocation_129,allocation_130,allocation_131,allocation_132,allocation_133,allocation_134,allocation_135,allocation_136,allocation_137,allocation_138,allocation_139,allocation_140,allocation_141,allocation_142,allocation_143,allocation_144,allocation_145,allocation_146,allocation_147,allocation_148,allocation_149,allocation_150,allocation_151,allocation_152,allocation_153,allocation_154,allocation_155,allocation_156,allocation_157,allocation_158,allocation_159,allocation_160,allocation_161,allocation_162,allocation_163,allocation_164,allocation_165,allocation_166,allocation_167,allocation_168,allocation_169,allocation_170,allocation_171,allocation_172,allocation_173,allocation_174,allocation_175,allocation_176,allocation_177,allocation_178,allocation_179,allocation_180,allocation_181,allocation_182,allocation_183,allocation_184,allocation_185,allocation_186,allocation_187,allocation_188,allocation_189,allocation_190,allocation_191,allocation_192,allocation_193,allocation_194,allocation_195,allocation_196,allocation_197,allocation_198,allocation_199,allocation_200
0,0,a1,8,0,4,1,9,2,9,2,9,2,5,5,6,2,3,4,5,6,9,8,3,8,4,7,7,9,6,2,4,8,6,6,0,6,4,0,1,6,8,3,6,9,2,7,1,1,9,2,9,1,4,3,6,5,5,9,0,6,5,3,8,6,4,0,1,9,5,9,1,2,2,3,6,1,4,0,0,6,1,2,4,4,2,0,8,6,8,0,5,9,6,0,7,0,0,8,1,1,6,2,2,1,8,7,2,2,4,2,2,1,0,3,2,3,7,5,4,1,4,1,1,5,3,7,6,0,5,4,1,3,1,9,1,8,7,9,0,1,6,5,1,3,8,1,6,0,1,0,9,0,1,7,1,8,7,5,2,6,5,1,3,1,5,6,6,5,7,7,7,4,6,6,7,2,4,4,9,2,6,4,6,3,8,6,7,2,5,5,8,7,5,8,8,7,2,4,8,1,3,7
1,1,a1,8,4,1,4,3,3,5,6,3,3,0,3,1,1,1,6,4,0,4,3,2,8,5,0,3,2,3,1,0,6,1,9,2,4,8,6,8,8,2,7,8,3,5,4,7,0,0,3,0,6,3,9,8,2,4,2,0,4,2,1,0,1,7,3,0,5,4,7,8,1,6,1,8,3,4,1,6,5,7,3,8,9,3,5,9,1,1,3,1,2,8,6,6,3,4,3,4,3,2,9,0,0,4,1,9,5,1,5,0,1,2,3,6,1,3,7,8,4,5,4,9,7,2,4,9,9,5,5,5,7,3,2,5,0,8,7,4,4,8,0,7,5,5,5,7,9,7,0,9,0,3,1,4,3,1,2,0,3,0,3,6,3,6,3,7,4,3,5,7,2,3,4,2,9,9,2,4,4,5,7,3,5,3,9,9,5,3,2,1,6,7,6,4,3,0,9,9,8,1,6
2,2,a1,4,7,6,2,2,3,8,9,6,4,9,5,4,2,2,2,1,2,5,4,9,4,6,5,9,8,5,5,3,0,3,4,5,5,1,1,0,1,6,9,2,8,5,9,3,9,9,5,7,5,2,1,3,6,0,7,6,1,6,2,5,7,8,7,0,0,1,4,4,2,0,9,9,9,0,8,3,6,3,4,2,5,5,5,6,5,9,7,3,4,5,2,6,7,9,6,5,9,0,2,1,2,2,6,7,0,3,3,5,2,9,0,7,4,3,1,7,2,8,2,4,8,5,7,2,7,9,7,0,2,7,5,7,1,9,4,6,0,7,6,8,8,5,2,1,3,0,5,7,4,0,3,7,8,8,3,1,8,4,7,5,5,1,1,5,8,6,3,4,5,3,6,2,7,3,0,1,1,3,8,8,6,5,3,1,4,8,2,6,0,4,7,2,3,8,2,5,5,9,4
3,3,a1,3,3,9,6,3,9,1,9,8,0,0,8,9,1,0,3,2,4,2,6,1,0,2,7,7,3,7,8,4,2,8,7,6,9,0,4,6,7,6,9,0,6,1,0,3,2,3,6,3,4,7,2,2,4,7,5,1,4,3,8,8,9,8,0,3,1,6,5,3,0,5,6,0,5,2,2,7,4,2,6,5,3,9,2,1,8,6,3,0,8,3,9,2,8,3,2,0,4,2,5,2,7,0,8,0,1,7,8,9,4,5,6,9,6,1,1,1,0,3,6,4,2,3,2,0,8,8,5,8,0,8,4,1,3,3,2,1,6,2,8,9,6,4,6,8,4,4,2,6,8,5,5,4,1,3,1,1,2,6,9,5,1,3,2,9,0,3,4,0,9,0,2,8,3,7,3,7,9,7,2,9,1,9,3,9,1,6,0,9,6,8,7,7,6,3,4,0,9,0,8
4,4,a1,0,5,7,9,1,7,1,5,3,4,8,0,5,6,8,6,5,6,5,7,6,7,9,6,2,3,9,9,1,9,0,8,6,3,3,7,7,4,9,2,1,1,9,3,5,5,4,1,5,3,2,4,8,0,3,0,8,8,5,9,6,9,0,8,5,0,6,7,5,3,8,7,5,1,7,5,2,1,4,1,8,4,9,1,4,3,0,6,7,6,9,3,1,1,8,7,2,7,7,0,5,6,5,6,8,3,8,1,4,3,2,9,5,9,7,0,8,2,4,3,7,2,6,3,5,6,1,9,6,2,2,9,9,7,6,6,9,9,6,1,0,5,6,6,7,1,1,1,3,6,8,4,8,6,5,4,6,5,6,7,9,4,3,7,4,6,2,9,8,1,6,1,0,0,1,7,1,5,3,1,0,2,0,9,8,6,3,4,2,5,3,2,7,0,5,7,1,4,0,1
5,5,a1,0,1,0,3,0,8,7,1,9,9,1,7,1,3,5,1,7,1,9,9,4,4,7,4,0,4,1,6,2,6,0,3,7,1,7,5,8,8,7,5,0,5,4,9,8,6,7,5,2,7,9,0,1,5,7,3,7,0,1,4,9,7,6,3,8,1,0,3,6,8,2,5,1,0,3,6,2,8,8,9,1,7,2,4,9,4,2,6,7,5,2,9,0,9,6,9,8,8,8,7,1,6,5,0,1,1,9,1,0,9,1,1,6,3,5,4,5,3,1,0,3,0,4,5,0,5,0,4,0,0,9,8,4,4,1,5,6,1,1,4,1,2,9,3,5,8,3,6,6,4,7,2,2,5,4,2,3,4,9,2,2,4,7,9,8,6,9,8,0,6,4,8,5,4,4,2,2,8,1,8,8,8,1,5,2,0,4,1,7,4,6,4,5,6,1,1,7,6,7,6
6,6,a1,7,2,5,8,4,5,7,5,2,2,9,1,0,7,1,7,4,9,6,1,8,3,2,5,1,7,2,3,6,1,4,1,8,2,6,9,9,4,8,7,2,5,7,2,9,3,3,7,2,2,5,3,4,1,8,0,2,7,8,5,6,5,3,7,3,8,2,0,0,8,3,0,4,8,5,7,5,9,7,2,7,6,6,4,0,0,1,4,2,8,0,5,1,4,5,4,5,1,6,8,8,3,0,5,7,6,1,0,9,7,6,9,8,1,5,6,3,8,9,9,3,3,7,4,6,1,3,9,4,8,5,4,6,5,3,6,1,0,1,3,6,7,1,7,9,5,6,3,1,1,6,0,1,0,8,4,3,9,1,3,4,6,1,4,3,2,5,4,2,7,1,3,0,8,2,3,4,1,9,0,6,9,8,5,3,2,7,9,3,2,0,0,0,5,6,8,6,7,5,1
7,7,a1,3,2,0,0,5,6,6,7,4,6,7,0,4,4,9,2,3,7,8,8,4,6,8,1,6,4,5,8,9,7,6,9,4,5,9,7,5,9,9,8,9,7,7,6,8,4,0,8,1,0,8,5,3,1,8,4,1,2,2,0,1,0,9,9,1,7,7,1,0,6,8,3,7,8,7,1,9,3,4,3,1,1,0,0,1,9,4,2,9,3,1,7,2,2,5,1,6,4,5,1,4,9,2,9,3,9,6,5,3,5,7,8,4,0,1,5,9,9,3,0,5,8,8,5,4,3,9,8,9,7,1,6,4,9,7,4,9,8,4,7,7,0,7,9,9,6,0,7,4,6,9,2,9,3,9,8,5,1,2,9,1,6,0,8,2,9,1,7,9,9,5,7,1,6,8,5,6,4,9,3,2,2,4,0,6,9,9,5,2,4,6,1,3,0,7,0,2,4,4,4
8,8,a1,5,6,9,0,6,7,0,2,0,5,3,9,2,0,7,5,9,8,2,1,0,1,4,1,9,9,4,6,2,1,1,2,3,2,5,1,3,2,3,0,6,2,0,1,5,1,1,0,0,6,8,7,7,9,6,6,6,8,0,0,3,3,6,8,4,4,9,4,3,7,1,8,8,6,6,9,1,4,0,9,7,2,6,6,5,8,3,1,9,7,7,5,5,0,2,2,8,7,0,9,7,5,7,2,4,8,8,7,2,6,4,2,4,6,9,6,7,3,5,8,8,4,9,9,9,7,2,6,6,9,4,6,5,4,9,1,0,2,3,2,4,9,4,1,5,5,2,8,3,2,1,3,3,9,6,1,8,3,8,4,8,2,8,7,2,9,1,8,2,4,9,5,6,9,5,6,5,0,2,9,7,0,7,8,1,0,2,8,3,9,3,1,9,4,9,6,7,8,6,8
9,9,a1,6,4,3,5,4,4,3,7,6,6,6,7,7,9,4,8,2,4,7,7,3,1,5,6,8,6,8,3,7,3,3,2,1,7,7,2,3,6,7,4,7,7,1,3,2,0,1,9,4,8,6,8,9,3,2,1,8,6,6,8,5,6,1,2,9,8,4,2,2,4,5,5,3,4,1,9,8,2,6,5,0,8,1,9,4,9,7,2,2,2,5,0,8,9,4,9,1,6,9,3,8,1,7,3,9,9,3,4,1,0,3,4,3,7,8,3,0,8,2,3,6,1,4,8,8,8,8,7,7,5,3,7,0,9,5,8,7,9,3,6,6,7,3,9,3,1,5,9,7,9,7,8,0,1,6,6,4,5,5,2,3,9,2,0,1,0,4,6,1,6,8,4,6,6,2,6,2,5,5,4,5,4,4,7,4,8,2,7,5,5,9,9,6,5,8,2,5,7,4,0
