ID_Code,eval_01,eval_02,eval_06,eval_03,eval_05,fac_incl_1,fac_resp_1,fac_argu_1,fac_influ_1,fac_incl_2,fac_resp_2,fac_argu_2,fac_influ_2,process_eval_01,process_eval_02,process_eval_04,process_eval_05,process_eval_06,process_eval_08,process_eval_09,format_eval_01,format_eval_02,format_eval_03,format_eval_04,format_eval_05,format_eval_06,learn_act_02,learn_act_03,learn_act_10,learn_act_11,learn_act_12,learn_act_13,understandCA,CA_eval_02,CA_eval_03,CA_eval_04,CA_eval_05,CA_eval_06,att_01_W3,att_02_W3,att_03_W3,att_04_W3,const_wk3_1,const_wk3_2,const_wk3_3,const_wk3_4,const_wk3_5,const_wk3_6,subj_knowledge_scot,subj_knowledge_04,subj_knowledge_05,subj_knowledge_06,subj_knowledge_07,obj_knowledge_01,obj_knowledge_02,obj_knowledge_03,CA_eval_07,CA_eval_08,CA_eval_09,speaker_01_CM_W3,speaker_02_CM_W3,speaker_03_CM_W3,speaker_01_SB_W3,speaker_02_SB_W3,speaker_03_SB_W3,speaker_01_KT_W3,speaker_02_KT_W3,speaker_03_KT_W3,speaker_01_AK_W3,speaker_02_AK_W3,speaker_03_AK_W3,att_ch,att_ch_01,att_ch_08,att_ch_09,att_ch_10,att_ch_11,att_ch_12,att_ch_13,att_ch_14,att_ch_15,RM_1_self,RM_2_self,RM_3_self,RM_1_CA,RM_2_CA,RM_3_CA,int_eff_01,int_eff_02,int_eff_03,int_eff_04,int_eff_05,pol_01,pol_02,pol_03,pol_04,demo_01,demo_02,pol_05,cit_eff_01,cit_eff_02,cit_eff_03,cit_eff_04,att_CA_01,att_CA_02,att_CA_03,att_CA_04,scot_ind,scot_parl,scot_values,scot_chall
097BC1F4,4,3,4,4,5,5,5,5,1,5,5,5,1,5,5,2,1,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1,3,3,5,4,2,2,2,1,2,2,7,5,3,3,3,2,2,99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,4,4,5,4,4,4,4,4,2,2,2,3,3,3,4,5,5,3,5,2,4,4,2,3,3,4,3,3,3,4,5,5,3,5,5,5,5,4
FF735487,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,3,3,5,4,3,3,3,3,3,3,3,5,5,3,5,5,5,5,5,5,5,2,5,5,3,3,3,2,2,2,2,2,1,7,6,5,5,8,3,2,99,5,5,5,5,5,4,4,4,3,3,3,3,5,5,5,10,4,5,5,5,5,4,4,4,5,3,3,3,3,3,3,4,4,4,3,5,2,3,3,5,3,3,3,3,3,4,5,4,5,3,3,0,5,5,5
FEE41878,5,4,4,4,5,5,5,5,3,5,5,5,3,4,5,4,3,5,4,4,4,4,3,4,4,3,4,5,4,5,5,5,4,5,4,99,4,4,3,3,4,4,2,1,2,2,2,2,7,6,6,7,6,3,99,99,4,3,4,4,5,3,5,5,3,5,5,5,5,5,5,4,3,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,3,3,3,4,3,3,4,4,4,3,5,5,5,3,5,-2,5,5,3
B778E0AB,4,4,3,4,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,3,2,2,4,2,1,3,3,4,2,2,3,4,4,5,4,5,5,4,4,4,3,2,2,2,2,2,1,5,4,4,3,3,99,99,99,5,5,5,2,4,3,3,2,3,4,4,4,3,3,3,5,4,1,2,4,1,1,2,1,1,3,3,3,3,3,3,3,4,4,5,3,2,2,3,3,2,2,4,4,4,3,3,4,4,4,5,5,5,5,4
F4CC77BB,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,4,1,5,5,5,3,4,4,4,4,2,4,4,1,4,4,4,5,5,5,5,99,99,5,5,5,5,2,2,2,2,2,1,2,2,2,2,2,99,99,99,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,99,3,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,5,4,1,99,4,99,99,99,4,4,4,4,4,4,5,5,4,5,5,5,5
F5BE8171,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,3,1,5,2,2,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,2,2,2,2,3,5,5,2,2,2,1,2,2,8,7,7,7,6,1,4,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,2,2,2,2,2,2,5,5,5,2,5,5,2,5,1,4,4,2,5,5,4,5,5,5,1,4,5,5,5,5
44E75F93,5,NA,NA,NA,NA,5,5,5,2,5,5,5,1,4,5,2,1,5,3,2,4,4,4,4,4,4,5,1,5,5,5,2,4,5,5,3,2,5,4,3,5,5,2,2,2,1,2,2,6,3,3,3,3,NA,NA,NA,4,3,4,5,5,5,4,3,3,3,1,2,3,3,3,3,1,4,4,3,3,3,1,2,3,2,2,2,4,4,3,4,5,4,2,4,3,3,3,4,3,3,5,2,3,2,4,4,3,3,4,3,3,3,2
3D5501CF,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,4,3,4,4,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,1,1,4,4,4,4,2,1,2,2,2,2,8,7,8,8,7,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,1,1,5,3,1,3,1,4,3,1,4,4,4,4,5,5,5,5,3,5,5,5
9F69077C,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,2,1,5,4,2,5,4,3,3,2,3,5,5,4,4,4,4,4,2,2,4,3,4,5,2,2,2,1,2,2,8,7,5,5,4,2,1,2,4,5,5,4,4,5,4,5,5,4,5,5,4,4,5,7,4,4,4,4,4,5,5,4,4,2,3,4,3,3,4,5,4,3,5,4,1,2,4,5,3,4,4,4,3,3,4,4,4,4,4,4,4,5,4
2087A112,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,2,5,5,3,4,3,4,5,3,3,5,5,1,5,3,2,5,5,5,3,3,3,5,5,5,3,2,2,2,2,2,1,6,6,6,6,6,3,1,2,5,5,5,1,1,3,3,3,3,3,3,3,3,3,3,10,3,3,3,5,4,3,3,3,3,3,3,4,4,4,4,5,5,2,3,5,3,3,1,1,1,1,5,3,4,5,5,5,5,4,5,0,0,0,0
