ID_Code,talk_frifam,leave,web,prepare_01,prepare_06,prepare_07,prepare_08,prepare_09,prepare_04,prepare_10,prepare_11,prepare_12,info_gather,info_gather_reason,info_gather_scot,info_gather_happy,info_gather_QOL,info_gather_values,info_gather_CA_gen ,info_gather_CA_scot,info_gather_tele,info_gather_radio,info_gather_newspapers,info_gather_magazines,info_gather_books,info_gather_web,info_gather_blogs,info_gather_frifam,info_gather_colleagues,info_gather_org_char,info_gather_politicians,info_gather_Cawebsite,info_gather_social,info_gather_gov,info_gather_council,info_gather_academic,RM_1_self,RM_2_self,RM_3_self,RM_1_CA,RM_2_CA,RM_3_CA,eval_wk3_01,eval_wk3_02,const_wk3_1,const_wk3_2,const_wk3_3,const_wk3_4,const_wk3_5,const_wk3_6,understandCA,CA_eval_01,feelingCA_1,feelingCA_2,feelingCA_3,feelingCA_4,feelingCA_6,feelingCA_7,att_01_W3,att_02_W3,att_03_W3,att_04_W3,subj_knowledge_scot,subj_knowledge_04,subj_knowledge_05,subj_knowledge_06,subj_knowledge_07,obj_knowledge_01,obj_knowledge_02,obj_knowledge_03,pol_party,pol_close
831CEDBD,3,2,2,3,4,5,3,3,6,6,6,99,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,4,3,4,5,5,2,2,2,2,2,1,4,1,2,1,2,1,2,1,3,4,4,5,5,1,2,5,4,1,4,4,99,NA
AF2C366A,8,2,1,5,5,5,5,5,5,5,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,5,5,1,2,2,2,2,2,4,5,3,2,4,1,4,1,3,4,4,4,6,5,5,6,6,2,1,4,98,NA
EBEF3660,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,3,4,4,4,2,2,2,2,1,2,4,4,2,1,2,1,2,1,2,5,4,99,9,7,7,8,5,2,3,1,1,8
6A9C4072,6,2,1,NA,1,99,99,99,99,99,99,99,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,4,3,3,4,4,2,2,2,1,2,2,5,5,4,2,4,1,4,1,3,3,4,5,7,5,3,6,5,2,1,3,2,8
935D9152,4,2,2,5,5,5,NA,4,6,6,4,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,4,4,1,2,2,2,2,2,5,3,4,1,3,1,4,2,4,5,4,3,8,6,5,5,5,1,3,1,2,5
548A4308,7,2,1,4,4,4,4,4,4,4,4,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,99,3,3,3,4,4,2,2,2,2,2,1,4,99,4,4,2,2,3,1,2,4,3,3,8,7,0,0,0,99,99,1,2,3
A3021EFD,10,2,1,5,6,6,6,6,6,6,6,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,4,5,5,2,1,1,2,2,2,5,5,5,1,4,1,5,1,3,4,4,5,7,7,7,7,6,1,1,1,4,7
CC36B8E5,8,1,1,4,1,1,4,4,5,3,5,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,2,2,4,4,2,2,2,2,1,2,4,3,4,3,4,1,3,2,2,3,4,4,8,8,7,8,7,1,3,1,4,7
097BC1F4,2,2,2,5,5,5,5,5,5,5,5,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,5,2,2,2,2,2,1,3,1,3,1,2,1,2,1,3,3,5,5,6,4,4,4,4,99,99,99,5,5
E0FC1802,6,2,2,1,1,1,1,1,5,5,99,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,5,5,2,2,2,1,2,2,5,2,4,2,4,1,4,2,4,4,99,4,8,5,5,3,3,2,1,1,5,3
