ID_Code,eval_01,eval_02,eval_06,eval_03,eval_05,fac_incl_1,fac_resp_1,fac_argu_1,fac_influ_1,process_eval_01,process_eval_02,process_eval_04,process_eval_05,process_eval_06,process_eval_08,process_eval_09,format_eval_01,format_eval_02,format_eval_03,format_eval_04,format_eval_05,format_eval_06,learn_act_02,learn_act_03,learn_act_10,learn_act_12,learn_act_13,learn_act_14,understandCA,CA_eval_02,CA_eval_03,CA_eval_04,CA_eval_05,CA_eval_06,att_tax_W4,att_01_W4,att_02_W4,att_03_W4,att_04_W4,att_05_W4,subj_knowledge_scot,subj_knowledge_08,subj_knowledge_09,subj_knowledge_10,subj_knowledge_11,obj_knowledge_04,obj_knowledge_05,obj_knowledge_06,obj_knowledge_07,CA_eval_07,CA_eval_08,CA_eval_09,speaker_01_FM_W4,speaker_02_FM_W4,speaker_03_FM_W4,speaker_01_DB_W4,speaker_02_DB_W4,speaker_03_DB_W4,speaker_01_DP_W4,speaker_02_DP_W4,speaker_03_DP_W4,speaker_01_CB_W4,speaker_02_CB_W4,speaker_03_CB_W4,speaker_01_RG_W4,speaker_02_RG_W4,speaker_03_RG_W4,speaker_01_LM_W4,speaker_02_LM_W4,speaker_03_LM_W4,speaker_01_EM_W4,speaker_02_EM_W4,speaker_03_EM_W4,att_ch,att_ch_01,att_ch_16,att_ch_17,att_ch_18,att_ch_19,att_ch_20,att_ch_21,att_ch_22,att_ch_23,att_ch_24,att_ch_25,RM_1_self,RM_2_self,RM_3_self,RM_1_CA,RM_2_CA,RM_3_CA,int_eff_01,int_eff_02,int_eff_03,int_eff_04,int_eff_05,pol_01,pol_02,pol_03,pol_04,demo_01,demo_02,pol_05,cit_eff_01,cit_eff_02,cit_eff_03,cit_eff_04,att_CA_01,att_CA_02,att_CA_03,att_CA_04,scot_ind,scot_parl,scot_values,scot_chall
FF735487,4,4,4,4,1,5,5,5,1,4,4,3,2,5,3,3,3,3,3,3,3,3,5,3,3,3,3,4,4,5,4,3,99,99,99,3,4,3,3,3,5,5,5,5,5,4,1,99,99,5,5,5,99,99,99,99,99,99,99,99,99,99,99,99,3,3,3,3,3,3,3,3,3,5,4,3,3,3,3,3,3,3,3,3,5,3,99,99,NA,NA,99,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,99,99,99,99,NA,NA,NA,NA
2AD01912,2,2,2,3,1,5,5,5,5,3,4,4,3,4,4,3,3,3,3,3,3,3,4,2,1,4,4,3,4,3,4,3,3,3,1,4,4,4,4,2,7,7,6,7,6,99,99,99,99,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,2,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,4,4,4,3,4,4,4,2,4,3,4,3,3,3,2,2,4,3,3,4,4,4,0,1
EBEF3660,5,5,5,4,5,5,5,5,1,5,5,1,1,5,1,2,5,5,5,5,5,5,5,5,1,3,4,5,5,5,5,99,1,1,2,1,1,5,1,1,10,8,8,8,8,4,2,3,99,4,4,5,3,4,99,3,4,99,4,4,99,4,4,99,4,4,99,4,99,99,4,99,99,8,3,1,1,2,1,1,1,1,1,2,3,3,4,4,99,99,99,5,4,5,2,4,4,4,3,4,99,4,4,4,4,4,4,4,4,4,5,-5,-5,3,3
EDD84AA5,4,5,5,3,5,5,5,5,2,3,5,4,2,5,4,2,4,4,2,3,5,2,4,4,3,2,4,3,3,5,3,3,4,2,1,5,5,5,4,5,7,9,8,7,5,4,4,3,99,3,2,2,2,4,4,4,4,4,5,4,4,5,5,5,4,3,4,3,3,3,5,5,5,7,5,4,4,2,3,3,3,3,3,3,3,4,4,4,3,3,3,4,5,4,2,5,4,3,4,2,3,3,3,2,4,2,2,5,5,2,4,2,5,5,5
77EFF35D,5,5,5,5,5,5,5,5,1,5,5,1,1,5,5,1,NA,5,4,4,2,4,5,5,4,5,1,5,5,5,5,1,1,1,1,5,99,4,4,5,9,9,9,9,9,99,2,2,99,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,4,5,5,5,4,5,4,1,5,2,4,4,5,4,5,4,2,5,5,1,5,5,5,4,5
5DDE3E51,5,5,5,5,5,5,5,5,1,5,5,1,1,5,4,1,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,4,4,5,7,5,5,7,4,2,3,2,99,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,10,5,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,5,5,5,1,5,2,4,4,2,4,4,4,4,4,4,4,5,5,1,5,-5,5,5,5
FEE41878,5,5,5,5,5,5,5,5,1,4,4,3,3,3,4,3,4,4,3,4,4,3,4,5,4,4,5,4,4,5,4,3,3,3,1,4,3,3,4,3,7,7,7,6,7,2,4,2,99,4,4,4,4,5,3,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,4,5,4,6,4,3,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,99,99,4,5,4,5,5,5,5,2,5,-2,0,-1,1
AA83AAF2,5,5,5,4,5,5,5,5,1,5,5,2,1,5,4,1,4,4,4,5,4,5,5,5,99,5,5,5,4,5,5,4,2,4,2,5,5,2,2,3,7,5,5,6,5,2,7,2,99,5,5,5,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,2,5,4,8,5,5,5,5,5,5,5,5,5,5,5,2,2,2,4,4,4,5,5,5,5,5,2,4,2,4,2,2,5,4,5,5,4,5,5,3,5,5,5,5,4
6EE7F438,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,3,4,4,4,4,4,4,5,4,2,5,5,5,2,4,4,3,4,5,5,5,5,10,7,8,8,8,4,7,2,99,4,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,8,3,5,5,4,4,5,5,5,5,4,1,4,4,4,3,3,3,5,5,5,3,4,5,2,4,3,4,4,2,4,5,3,4,4,4,2,5,3,5,4,5
44E75F93,3,2,2,3,4,5,5,5,1,4,5,3,5,5,3,1,4,4,4,3,3,4,5,1,3,5,4,5,4,5,4,5,3,5,1,5,4,4,3,5,5,3,2,2,1,NA,NA,2,99,3,3,5,4,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,3,4,4,5,4,3,5,2,3,3,3,3,3,4,3,4,3,5,4,4,3,5,5,5,2,2
